Number,Species,Temp,Recorded,Diameter.in,Diameter.cm
12,A. cleistominuta,60,56.01,1.06,2.69
13,A. cleistominuta,40,35.38,0.69,1.75
13,A. cleistominuta,44,40.92,0.69,1.75
13,A. cleistominuta,48,44.41,0.69,1.75
13,A. cleistominuta,52,47.17,0.69,1.75
13,A. cleistominuta,56,50.91,0.69,1.75
13,A. cleistominuta,60,55.54,0.69,1.75
14,A. cleistominuta,40,35.94,0.94,2.39
14,A. cleistominuta,44,39.1,0.94,2.39
14,A. cleistominuta,48,44.1,0.94,2.39
14,A. cleistominuta,52,47.2,0.94,2.39
14,A. cleistominuta,56,52.4,0.94,2.39
14,A. cleistominuta,60,56.32,0.94,2.39
15,A. cleistominuta,40,36.93,0.81,2.06
15,A. cleistominuta,44,40.7,0.81,2.06
15,A. cleistominuta,48,44.68,0.81,2.06
15,A. cleistominuta,52,47.2,0.81,2.06
15,A. cleistominuta,56,50.93,0.81,2.06
15,A. cleistominuta,60,55.77,0.81,2.06
16,A. cleistominuta,40,35.78,0.81,2.06
16,A. cleistominuta,44,40.97,0.81,2.06
16,A. cleistominuta,48,44.46,0.81,2.06
16,A. cleistominuta,52,47.77,0.81,2.06
16,A. cleistominuta,56,51.6,0.81,2.06
16,A. cleistominuta,60,56.6,0.81,2.06
17,A. cleistominuta,40,35.4,1.13,2.87
17,A. cleistominuta,44,40.12,1.13,2.87
17,A. cleistominuta,48,43.73,1.13,2.87
17,A. cleistominuta,52,48.79,1.13,2.87
17,A. cleistominuta,56,53.07,1.13,2.87
17,A. cleistominuta,60,56.35,1.13,2.87
18,A. cleistominuta,40,37.05,0.75,1.91
18,A. cleistominuta,44,40.62,0.75,1.91
18,A. cleistominuta,48,45.4,0.75,1.91
18,A. cleistominuta,52,49.06,0.75,1.91
18,A. cleistominuta,56,51.02,0.75,1.91
18,A. cleistominuta,60,56.29,0.75,1.91
19,A. cleistominuta,40,36.46,0.94,2.39
19,A. cleistominuta,44,40.11,0.94,2.39
19,A. cleistominuta,48,44.16,0.94,2.39
19,A. cleistominuta,52,48.95,0.94,2.39
19,A. cleistominuta,56,52.5,0.94,2.39
19,A. cleistominuta,60,55.17,0.94,2.39
20,A. cleistominuta,40,36.75,0.88,2.24
20,A. cleistominuta,44,39.3,0.88,2.24
20,A. cleistominuta,48,44.07,0.88,2.24
20,A. cleistominuta,52,48.56,0.88,2.24
20,A. cleistominuta,56,53.02,0.88,2.24
20,A. cleistominuta,60,54.69,0.88,2.24
21,A. cleistominuta,40,36.42,0.69,1.75
21,A. cleistominuta,44,40.85,0.69,1.75
21,A. cleistominuta,48,42.89,0.69,1.75
21,A. cleistominuta,52,47.71,0.69,1.75
21,A. cleistominuta,56,50.92,0.69,1.75
21,A. cleistominuta,60,55.35,0.69,1.75
22,A. cleistominuta,40,37.21,1.00,2.54
22,A. cleistominuta,44,40.48,1.00,2.54
22,A. cleistominuta,48,43.77,1.00,2.54
22,A. cleistominuta,52,47.23,1.00,2.54
22,A. cleistominuta,56,52.73,1.00,2.54
22,A. cleistominuta,60,56.78,1.00,2.54
23,A. cleistominuta,40,37.05,1.06,2.69
23,A. cleistominuta,44,38.97,1.06,2.69
23,A. cleistominuta,48,44.18,1.06,2.69
23,A. cleistominuta,52,49.16,1.06,2.69
23,A. cleistominuta,56,51.78,1.06,2.69
23,A. cleistominuta,60,56.28,1.06,2.69
24,A. cleistominuta,40,36.11,0.75,1.91
24,A. cleistominuta,44,40.8,0.75,1.91
24,A. cleistominuta,48,44.41,0.75,1.91
24,A. cleistominuta,52,47.13,0.75,1.91
24,A. cleistominuta,56,52.97,0.75,1.91
24,A. cleistominuta,60,56.16,0.75,1.91
25,A. cleistominuta,40,36.63,0.81,2.06
25,A. cleistominuta,44,39.26,0.81,2.06
25,A. cleistominuta,48,43.76,0.81,2.06
25,A. cleistominuta,52,48.24,0.81,2.06
25,A. cleistominuta,56,51.16,0.81,2.06
25,A. cleistominuta,60,55.45,0.81,2.06
26,A. cleistominuta,40,35.21,1.13,2.87
26,A. cleistominuta,44,39.07,1.13,2.87
26,A. cleistominuta,48,44.17,1.13,2.87
26,A. cleistominuta,52,48.3,1.13,2.87
26,A. cleistominuta,56,52.99,1.13,2.87
26,A. cleistominuta,60,55.53,1.13,2.87
27,A. cleistominuta,40,36.56,1.06,2.69
27,A. cleistominuta,44,39.58,1.06,2.69
27,A. cleistominuta,48,43.9,1.06,2.69
27,A. cleistominuta,52,47.66,1.06,2.69
27,A. cleistominuta,56,51.29,1.06,2.69
27,A. cleistominuta,60,56.14,1.06,2.69
28,A. cleistominuta,40,36.68,0.69,1.75
28,A. cleistominuta,44,40.79,0.69,1.75
28,A. cleistominuta,48,44.92,0.69,1.75
28,A. cleistominuta,52,47.24,0.69,1.75
28,A. cleistominuta,56,53.01,0.69,1.75
28,A. cleistominuta,60,56.58,0.69,1.75
29,A. cleistominuta,40,36.25,0.94,2.39
29,A. cleistominuta,44,39.68,0.94,2.39
29,A. cleistominuta,48,44.33,0.94,2.39
29,A. cleistominuta,52,47.53,0.94,2.39
29,A. cleistominuta,56,52.06,0.94,2.39
29,A. cleistominuta,60,56.71,0.94,2.39
30,A. cleistominuta,40,35.8,1.00,2.54
30,A. cleistominuta,44,39.61,1.00,2.54
30,A. cleistominuta,48,43.6,1.00,2.54
30,A. cleistominuta,52,48.88,1.00,2.54
30,A. cleistominuta,56,51.87,1.00,2.54
30,A. cleistominuta,60,56.31,1.00,2.54
