Species,Plate,Point ,Area,Temp
X. cleistominuta,5,12,Agar,40.3
X. cleistominuta,5,13,Agar,40.2
X. cleistominuta,5,14,Agar,40.2
X. cleistominuta,5,15,Agar,40.3
X. cleistominuta,5,1,Fungi,39
X. cleistominuta,5,2,Fungi,38.4
X. cleistominuta,5,3,Fungi,38.9
X. cleistominuta,5,4,Fungi,38.6
X. cleistominuta,5,5,Fungi,39.4
X. cleistominuta,5,6,Fungi,39.9
X. cleistominuta,5,7,Fungi,39.9
X. cleistominuta,5,8,Fungi,40.2
X. cleistominuta,5,9,Fungi,39.3
X. cleistominuta,5,10,Fungi,39.3
X. cleistominuta,5,11,Fungi,39.5
X. cleistominuta,5,12,Fungi,39.2
X. cleistominuta,5,13,Fungi,39.6
X. cleistominuta,5,14,Fungi,38.9
X. cleistominuta,5,15,Fungi,39.9
X. cleistominuta,6,1,Agar,41.3
X. cleistominuta,6,2,Agar,41.6
X. cleistominuta,6,3,Agar,41.4
X. cleistominuta,6,4,Agar,41.3
X. cleistominuta,6,5,Agar,41.5
X. cleistominuta,6,6,Agar,40.9
X. cleistominuta,6,7,Agar,40.8
X. cleistominuta,6,8,Agar,41
X. cleistominuta,6,9,Agar,40.9
X. cleistominuta,6,10,Agar,41.1
X. cleistominuta,6,11,Agar,41.2
X. cleistominuta,6,12,Agar,41.2
X. cleistominuta,6,13,Agar,40.9
X. cleistominuta,6,14,Agar,41.3
X. cleistominuta,6,15,Agar,41.4
X. cleistominuta,6,1,Fungi,41.1
X. cleistominuta,6,2,Fungi,41.1
X. cleistominuta,6,3,Fungi,41
X. cleistominuta,6,4,Fungi,40.3
X. cleistominuta,6,5,Fungi,39.9
X. cleistominuta,6,6,Fungi,40.8
X. cleistominuta,6,7,Fungi,40.6
X. cleistominuta,6,8,Fungi,40.8
X. cleistominuta,6,9,Fungi,40.6
X. cleistominuta,6,10,Fungi,40
X. cleistominuta,6,11,Fungi,41
X. cleistominuta,6,12,Fungi,40
X. cleistominuta,6,13,Fungi,40.3
X. cleistominuta,6,14,Fungi,41
X. cleistominuta,6,15,Fungi,40
X. cleistominuta,7,1,Agar,41.3
X. cleistominuta,7,2,Agar,41.3
X. cleistominuta,7,3,Agar,41.4
X. cleistominuta,7,4,Agar,41.3
X. cleistominuta,7,5,Agar,41.2
X. cleistominuta,7,6,Agar,41.3
X. cleistominuta,7,7,Agar,41.4
X. cleistominuta,7,8,Agar,41.4
X. cleistominuta,7,9,Agar,41.2
X. cleistominuta,7,10,Agar,41.2
X. cleistominuta,7,11,Agar,41
X. cleistominuta,7,12,Agar,41
X. cleistominuta,7,13,Agar,41.1
X. cleistominuta,7,14,Agar,40.8
X. cleistominuta,7,15,Agar,40.7
X. cleistominuta,7,1,Fungi,41.3
X. cleistominuta,7,2,Fungi,40.7
X. cleistominuta,7,3,Fungi,40.9
X. cleistominuta,7,4,Fungi,39.4
